Date/Time,Environmental Audio Exposure (dBASPL),Source
2022-03-18 13:07:42,76.48,Mithat Can’s Apple Watch
2022-03-18 13:37:37,63.1,Mithat Can’s Apple Watch
2022-03-18 14:07:32,53.06,Mithat Can’s Apple Watch
2022-03-18 14:37:32,60.45,Mithat Can’s Apple Watch
2022-03-18 15:07:32,63.28,Mithat Can’s Apple Watch
2022-03-18 15:37:27,61.65,Mithat Can’s Apple Watch
2022-03-18 16:07:22,44.97,Mithat Can’s Apple Watch
2022-03-18 16:37:17,47.86,Mithat Can’s Apple Watch
2022-03-18 17:07:12,58.23,Mithat Can’s Apple Watch
2022-03-18 17:37:07,59.57,Mithat Can’s Apple Watch
2022-03-18 18:07:07,53.75,Mithat Can’s Apple Watch
2022-03-18 18:37:07,53.68,Mithat Can’s Apple Watch
2022-03-18 19:07:07,60.49,Mithat Can’s Apple Watch
2022-03-18 19:37:07,51.66,Mithat Can’s Apple Watch
2022-03-18 20:07:02,70.93,Mithat Can’s Apple Watch
2022-03-18 20:36:57,75.09,Mithat Can’s Apple Watch
2022-03-18 21:06:53,75.32,Mithat Can’s Apple Watch
2022-03-18 21:36:52,68.12,Mithat Can’s Apple Watch
2022-03-18 22:06:52,73.07,Mithat Can’s Apple Watch
2022-03-18 22:36:47,53.07,Mithat Can’s Apple Watch
2022-03-18 23:06:42,51.65,Mithat Can’s Apple Watch
2022-03-18 23:36:37,46.85,Mithat Can’s Apple Watch
2022-03-19 00:06:37,60.33,Mithat Can’s Apple Watch
2022-03-19 00:36:32,65.33,Mithat Can’s Apple Watch
2022-03-19 01:06:32,59.95,Mithat Can’s Apple Watch
2022-03-22 14:42:06,76.58,Mithat Can’s Apple Watch
2022-03-22 15:12:01,71.41,Mithat Can’s Apple Watch
2022-03-22 15:41:56,71.81,Mithat Can’s Apple Watch
2022-03-22 16:11:51,63.71,Mithat Can’s Apple Watch
2022-03-22 16:41:46,72.31,Mithat Can’s Apple Watch
2022-03-22 17:11:46,74.15,Mithat Can’s Apple Watch
2022-03-22 17:41:41,71.07,Mithat Can’s Apple Watch
2022-03-22 18:11:41,75.81,Mithat Can’s Apple Watch
2022-03-22 18:41:41,75.37,Mithat Can’s Apple Watch
2022-03-22 19:11:36,77.88,Mithat Can’s Apple Watch
2022-03-22 19:41:36,76.16,Mithat Can’s Apple Watch
2022-03-22 20:11:36,75.48,Mithat Can’s Apple Watch
2022-03-22 20:41:36,76.94,Mithat Can’s Apple Watch
2022-03-22 21:11:31,74.82,Mithat Can’s Apple Watch
2022-03-22 21:41:26,76.92,Mithat Can’s Apple Watch
2022-03-22 22:11:21,70.24,Mithat Can’s Apple Watch
2022-03-22 22:41:16,68.01,Mithat Can’s Apple Watch
2022-03-23 16:21:54,74.66,Mithat Can’s Apple Watch
2022-03-23 16:52:04,74.77,Mithat Can’s Apple Watch
2022-03-23 17:22:04,74.94,Mithat Can’s Apple Watch
2022-03-23 17:52:04,79.5,Mithat Can’s Apple Watch
2022-03-23 18:22:04,70.86,Mithat Can’s Apple Watch
2022-03-23 18:52:04,59.7,Mithat Can’s Apple Watch
2022-03-23 19:21:59,55.94,Mithat Can’s Apple Watch
2022-03-23 19:51:55,73.93,Mithat Can’s Apple Watch
2022-03-23 20:21:55,45.82,Mithat Can’s Apple Watch
2022-03-24 08:54:02,74.58,Mithat Can’s Apple Watch
2022-03-24 09:23:57,69.2,Mithat Can’s Apple Watch
2022-03-24 09:53:57,64.98,Mithat Can’s Apple Watch
2022-03-24 10:23:57,79.37,Mithat Can’s Apple Watch
2022-03-24 10:53:52,72.47,Mithat Can’s Apple Watch
2022-03-24 11:23:47,69.18,Mithat Can’s Apple Watch
2022-03-24 11:53:42,69.55,Mithat Can’s Apple Watch
2022-03-24 12:23:37,67.35,Mithat Can’s Apple Watch
2022-03-24 12:53:32,61.24,Mithat Can’s Apple Watch
2022-03-24 13:23:32,61.36,Mithat Can’s Apple Watch
2022-03-24 17:03:59,71.6,Mithat Can’s Apple Watch
2022-03-24 17:33:54,78.77,Mithat Can’s Apple Watch
2022-03-24 18:03:49,79.7,Mithat Can’s Apple Watch
2022-03-24 18:33:44,86.05,Mithat Can’s Apple Watch
2022-03-24 19:03:39,92.57,Mithat Can’s Apple Watch
2022-03-24 19:29:19,94.34,Mithat Can’s Apple Watch
2022-03-24 19:53:34,95.86,Mithat Can’s Apple Watch
2022-03-24 20:17:44,100.53,Mithat Can’s Apple Watch
2022-03-24 20:42:14,95.99,Mithat Can’s Apple Watch
2022-03-24 21:06:34,103.57,Mithat Can’s Apple Watch
2022-03-24 21:30:54,102.93,Mithat Can’s Apple Watch
2022-03-24 21:55:04,100.05,Mithat Can’s Apple Watch
2022-03-24 22:19:29,102.34,Mithat Can’s Apple Watch
2022-03-24 22:43:44,85.23,Mithat Can’s Apple Watch
2022-03-24 23:13:44,79.02,Mithat Can’s Apple Watch
2022-03-24 23:43:39,85.97,Mithat Can’s Apple Watch
2022-03-25 00:13:39,66.62,Mithat Can’s Apple Watch
2022-03-25 20:27:08,85.01,Mithat Can’s Apple Watch
2022-03-25 20:57:03,84.7,Mithat Can’s Apple Watch
2022-03-25 21:26:58,81.06,Mithat Can’s Apple Watch
2022-03-25 21:56:53,83.72,Mithat Can’s Apple Watch
2022-03-25 22:26:53,86.75,Mithat Can’s Apple Watch
2022-03-25 22:56:48,89.36,Mithat Can’s Apple Watch
2022-03-25 23:26:43,83.94,Mithat Can’s Apple Watch
2022-03-25 23:56:38,84.96,Mithat Can’s Apple Watch
2022-03-26 00:26:38,82.91,Mithat Can’s Apple Watch
2022-03-26 00:56:38,78.63,Mithat Can’s Apple Watch
2022-03-26 01:26:38,85.24,Mithat Can’s Apple Watch
2022-03-26 01:56:38,80.19,Mithat Can’s Apple Watch
2022-03-26 02:26:38,59.72,Mithat Can’s Apple Watch
2022-03-26 19:22:07,81.63,Mithat Can’s Apple Watch
2022-03-26 19:52:02,80.22,Mithat Can’s Apple Watch
2022-03-26 20:22:02,68.78,Mithat Can’s Apple Watch
2022-03-26 20:51:57,70.53,Mithat Can’s Apple Watch
2022-03-26 21:21:52,65.2,Mithat Can’s Apple Watch
2022-03-26 21:51:47,69.15,Mithat Can’s Apple Watch
2022-03-26 22:21:47,80.48,Mithat Can’s Apple Watch
2022-03-26 22:51:42,74.03,Mithat Can’s Apple Watch
2022-03-26 23:21:37,86.22,Mithat Can’s Apple Watch
2022-03-26 23:51:37,90.58,Mithat Can’s Apple Watch
2022-03-27 00:21:37,82.8,Mithat Can’s Apple Watch
2022-03-27 00:51:32,81.51,Mithat Can’s Apple Watch
2022-03-27 01:21:27,76.06,Mithat Can’s Apple Watch
2022-03-28 14:14:35,66.86,Mithat Can’s Apple Watch
2022-03-28 14:44:35,58.14,Mithat Can’s Apple Watch
2022-03-28 21:27:36,61.89,Mithat Can’s Apple Watch
2022-03-28 21:57:31,79.88,Mithat Can’s Apple Watch
2022-03-28 22:27:31,78.88,Mithat Can’s Apple Watch
2022-03-28 22:57:56,75.03,Mithat Can’s Apple Watch
2022-03-28 23:27:52,82.09,Mithat Can’s Apple Watch
2022-03-28 23:57:47,83.88,Mithat Can’s Apple Watch
2022-03-29 00:27:47,77.03,Mithat Can’s Apple Watch
2022-03-29 00:57:42,63.61,Mithat Can’s Apple Watch
2022-03-30 07:11:25,63.37,Mithat Can’s Apple Watch
2022-03-30 07:41:25,66.43,Mithat Can’s Apple Watch
2022-03-30 08:11:20,66.84,Mithat Can’s Apple Watch
